best,threshold,entropy
590,590,590,494
590,590,590,494
590,590,590,494
590,590,590,494
590,590,590,494
590,590,590,494
590,590,590,494
590,590,590,494
591,591,591,495
591,591,591,495
591,591,591,495
593,593,593,497
593,593,593,497
595,595,595,499
596,596,596,500
596,596,596,500
598,598,598,502
598,598,598,502
598,598,598,502
599,599,599,502
599,599,599,502
600,600,600,502
601,601,601,503
601,601,601,503
601,601,601,503
601,601,601,503
601,601,601,503
601,601,601,503
601,601,601,503
603,603,603,505
603,603,603,505
603,603,603,505
603,603,603,505
603,603,603,505
604,604,604,506
605,605,605,506
605,605,605,506
606,606,606,507
607,607,607,508
607,607,607,508
608,608,608,509
608,608,608,509
608,608,608,509
608,608,608,509
608,608,608,509
609,609,609,509
610,610,610,510
610,610,610,510
610,610,610,510
611,611,611,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
612,612,612,511
613,613,613,512
613,613,613,512
613,613,613,512
615,615,615,513
615,615,615,513
615,615,615,513
615,615,615,513
616,616,616,514
618,618,618,516
618,618,618,516
618,618,618,516
619,619,619,517
619,619,619,517
619,619,619,517
619,619,619,517
620,620,620,518
620,620,620,518
620,620,620,518
620,620,620,518
620,620,620,518
621,621,621,519
621,621,621,519
622,622,622,520
623,623,623,521
624,624,624,522
624,624,624,522
625,625,625,523
626,626,626,524
626,626,626,524
626,626,626,524
626,626,626,524
627,627,627,525
629,629,629,527
630,630,630,528
632,632,632,530
633,633,633,531
633,633,633,531
635,635,635,531
635,635,635,531
635,635,635,531
635,635,635,531
636,636,636,532
638,638,638,534
639,639,639,535
640,640,640,536
642,642,642,538
642,642,642,538
645,645,645,540
646,646,646,541
647,647,647,542
647,647,647,542
648,648,648,543
648,648,648,543
648,648,648,543
649,649,649,544
649,649,649,544
649,649,649,544
649,649,649,544
650,650,650,545
650,650,650,545
650,650,650,545
650,650,650,545
650,650,650,545
650,650,650,545
650,650,650,545
650,650,650,545
651,651,651,546
651,651,651,546
652,652,652,547
653,653,653,548
653,653,653,548
653,653,653,548
